"english_title";"german_title";"year";"rated";"released";"genre";"director";"writer";"type";"imdb_rating";"tag";"website"
"The Man with the Golden Gun";"Der Mann mit dem goldenen Colt";"1974";"PG";"20 Dec 1974";"Action, Adventure, Thriller";"Guy Hamilton";"Richard Maibaum, Tom Mankiewicz, Ian Fleming";"movie";"6.7";"James Bond";"N/A"
"The Spy Who Loved Me";"Der Spion, der mich liebte";"1977";"PG";"03 Aug 1977";"Action, Adventure, Thriller";"Lewis Gilbert";"Christopher Wood, Richard Maibaum, Ian Fleming";"movie";"7.0";"James Bond";"N/A"
"Moonraker";"Moonraker – Streng geheim";"1979";"PG";"29 Jun 1979";"Action, Adventure, Sci-Fi";"Lewis Gilbert";"Christopher Wood, Ian Fleming, Gerry Anderson";"movie";"6.2";"James Bond";"N/A"
"For Your Eyes Only";"In tödlicher Mission";"1981";"PG";"26 Jun 1981";"Action, Adventure, Thriller";"John Glen";"Richard Maibaum, Michael G. Wilson, Ian Fleming";"movie";"6.7";"James Bond";"N/A"
"Octopussy";"Octopussy";"1983";"PG";"10 Jun 1983";"Action, Adventure, Thriller";"John Glen";"George MacDonald Fraser, Richard Maibaum, Michael G. Wilson";"movie";"6.5";"James Bond";"N/A"
"A View to a Kill";"Im Angesicht des Todes";"1985";"PG";"24 May 1985";"Action, Adventure, Thriller";"John Glen";"Richard Maibaum, Michael G. Wilson, Ian Fleming";"movie";"6.3";"James Bond";"N/A"
"The Living Daylights";"Der Hauch des Todes";"1987";"PG";"31 Jul 1987";"Action, Adventure, Thriller";"John Glen";"Richard Maibaum, Michael G. Wilson, Ian Fleming";"movie";"6.7";"James Bond";"N/A"
"Licence to Kill";"Lizenz zum Töten";"1989";"PG-13";"14 Jul 1989";"Action, Adventure, Thriller";"John Glen";"Michael G. Wilson, Richard Maibaum, Ian Fleming";"movie";"6.7";"James Bond";"N/A"
"GoldenEye";"GoldenEye";"1995";"PG-13";"17 Nov 1995";"Action, Adventure, Thriller";"Martin Campbell";"Ian Fleming, Michael France, Jeffrey Caine";"movie";"7.2";"James Bond";"N/A"
"Tomorrow Never Dies";"Der Morgen stirbt nie";"1997";"PG-13";"19 Dec 1997";"Action, Adventure, Thriller";"Roger Spottiswoode";"Bruce Feirstein, Ian Fleming";"movie";"6.5";"James Bond";"N/A"
"The World Is Not Enough";"Die Welt ist nicht genug";"1999";"PG-13";"19 Nov 1999";"Action, Adventure, Thriller";"Michael Apted";"Neal Purvis, Robert Wade, Bruce Feirstein";"movie";"6.4";"James Bond";"N/A"
"Die Another Day";"Stirb an einem anderen Tag";"2002";"PG-13";"22 Nov 2002";"Action, Adventure, Thriller";"Lee Tamahori";"Ian Fleming, Neal Purvis, Robert Wade";"movie";"6.1";"James Bond";"N/A"
"Casino Royale";"Casino Royale";"2006";"PG-13";"17 Nov 2006";"Action, Adventure, Thriller";"Martin Campbell";"Neal Purvis, Robert Wade, Paul Haggis";"movie";"8.0";"James Bond";"N/A"
"Quantum of Solace";"Ein Quantum Trost";"2008";"PG-13";"14 Nov 2008";"Action, Adventure, Mystery";"Marc Forster";"Paul Haggis, Neal Purvis, Robert Wade";"movie";"6.5";"James Bond";"N/A"
"Skyfall";"Skyfall";"2012";"PG-13";"09 Nov 2012";"Action, Adventure, Thriller";"Sam Mendes";"Neal Purvis, Robert Wade, John Logan";"movie";"7.8";"James Bond";"N/A"
"Spectre";"Spectre";"2015";"PG-13";"06 Nov 2015";"Action, Adventure, Thriller";"Sam Mendes";"John Logan, Neal Purvis, Robert Wade";"movie";"6.8";"James Bond";"N/A"
"No Time to Die";"Keine Zeit zu sterben";"2021";"PG-13";"08 Oct 2021";"Action, Adventure, Thriller";"Cary Joji Fukunaga";"Neal Purvis, Robert Wade, Cary Joji Fukunaga";"movie";"7.3";"James Bond";"N/A"
"The Hunger Games";"Die Tribute von Panem – The Hunger Games";"2012";"PG-13";"23 Mar 2012";"Action, Adventure, Sci-Fi";"Gary Ross";"Gary Ross, Suzanne Collins, Billy Ray";"movie";"7.2";"The Hunger Games, Hunger Games, Die Tribute von Panem, Tribute von Panem";"N/A"
"The Hunger Games: Catching Fire";"Die Tribute von Panem – Catching Fire";"2013";"PG-13";"22 Nov 2013";"Action, Adventure, Sci-Fi";"Francis Lawrence";"Simon Beaufoy, Michael Arndt, Suzanne Collins";"movie";"7.5";"The Hunger Games, Hunger Games, Die Tribute von Panem, Tribute von Panem";"N/A"
"The Hunger Games: Mockingjay – Part 1";"Die Tribute von Panem – Mockingjay Teil 1";"2014";"PG-13";"21 Nov 2014";"Action, Adventure, Sci-Fi";"Francis Lawrence";"Peter Craig, Danny Strong, Suzanne Collins";"movie";"6.6";"The Hunger Games, Hunger Games, Die Tribute von Panem, Tribute von Panem";"N/A"
"The Hunger Games: Mockingjay – Part 2";"Die Tribute von Panem – Mockingjay Teil 2";"2015";"PG-13";"20 Nov 2015";"Action, Adventure, Sci-Fi";"Francis Lawrence";"Peter Craig, Danny Strong, Suzanne Collins";"movie";"6.6";"The Hunger Games, Hunger Games, Die Tribute von Panem, Tribute von Panem";"N/A"
"The Hunger Games: The Ballad of Songbirds & Snakes";"Die Tribute von Panem – The Ballad of Songbirds & Snakes";"2023";"PG-13";"17 Nov 2023";"Action, Adventure, Drama";"Francis Lawrence";"Michael Lesslie, Michael Arndt, Suzanne Collins";"movie";"6.7";"The Hunger Games, Hunger Games, Die Tribute von Panem, Tribute von Panem";"N/A"
"Pirates of the Caribbean: The Curse of the Black Pearl";"Fluch der Karibik";"2003";"PG-13";"09 Jul 2003";"Action, Adventure, Fantasy";"Gore Verbinski";"Ted Elliott, Terry Rossio, Stuart Beattie";"movie";"8.1";"Pirates of the Caribbean, Fluch der Karibik";"N/A"
"Pirates of the Caribbean: Dead Man's Chest";"Pirates of the Caribbean – Fluch der Karibik 2";"2006";"PG-13";"07 Jul 2006";"Action, Adventure, Fantasy";"Gore Verbinski";"Ted Elliott, Terry Rossio, Stuart Beattie";"movie";"7.4";"Pirates of the Caribbean, Fluch der Karibik";"N/A"
"Pirates of the Caribbean: At World's End";"Pirates of the Caribbean – Am Ende der Welt";"2007";"PG-13";"25 May 2007";"Action, Adventure, Fantasy";"Gore Verbinski";"Ted Elliott, Terry Rossio, Stuart Beattie";"movie";"7.1";"Pirates of the Caribbean, Fluch der Karibik";"N/A"
"Pirates of the Caribbean: On Stranger Tides";"Pirates of the Caribbean – Fremde Gezeiten";"2011";"PG-13";"20 May 2011";"Action, Adventure, Fantasy";"Rob Marshall";"Ted Elliott, Terry Rossio, Stuart Beattie";"movie";"6.6";"Pirates of the Caribbean, Fluch der Karibik";"N/A"
"Pirates of the Caribbean: Dead Men Tell No Tales";"Pirates of the Caribbean – Salazars Rache";"2017";"PG-13";"26 May 2017";"Action, Adventure, Fantasy";"Joachim Rønning, Espen Sandberg";"Jeff Nathanson, Terry Rossio, Ted Elliott";"movie";"6.5";"Pirates of the Caribbean, Fluch der Karibik";"N/A"
"Jurassic Park";"Jurassic Park";"1993";"PG-13";"11 Jun 1993";"Action, Adventure, Sci-Fi";"Steven Spielberg";"Michael Crichton, David Koepp";"movie";"8.2";"Jurassic Park, Jurassic World";"N/A"
"The Lost World: Jurassic Park";"Vergessene Welt: Jurassic Park";"1997";"PG-13";"22 May 1997";"Action, Adventure, Sci-Fi";"Steven Spielberg";"Michael Crichton, David Koepp";"movie";"6.6";"Jurassic Park, Jurassic World";"N/A"
"Jurassic Park III";"Jurassic Park III";"2001";"PG-13";"18 Jul 2001";"Action, Adventure, Sci-Fi";"Joe Johnston";"Michael Crichton, Peter Buchman, Alexander Payne";"movie";"5.9";"Jurassic Park, Jurassic World";"N/A"
"Jurassic World";"Jurassic World";"2015";"PG-13";"12 Jun 2015";"Action, Adventure, Sci-Fi";"Colin Trevorrow";"Rick Jaffa, Amanda Silver, Colin Trevorrow";"movie";"6.9";"Jurassic Park, Jurassic World";"N/A"
"Jurassic World: Fallen Kingdom";"Jurassic World: Das gefallene Königreich";"2018";"PG-13";"22 Jun 2018";"Action, Adventure, Sci-Fi";"J.A. Bayona";"Derek Connolly, Colin Trevorrow, Michael Crichton";"movie";"6.1";"Jurassic Park, Jurassic World";"N/A"
"Jurassic World: Dominion";"Jurassic World: Ein neues Zeitalter";"2022";"PG-13";"10 Jun 2022";"Action, Adventure, Sci-Fi";"Colin Trevorrow";"Emily Carmichael, Colin Trevorrow, Derek Connolly";"movie";"5.6";"Jurassic Park, Jurassic World";"N/A"
"Transformers";"Transformers";"2007";"PG-13";"03 Jul 2007";"Action, Adventure, Sci-Fi";"Michael Bay";"Roberto Orci, Alex Kurtzman, John Rogers";"movie";"7.1";"Transformers";"N/A"
"Transformers: Revenge of the Fallen";"Transformers – Die Rache";"2009";"PG-13";"24 Jun 2009";"Action, Adventure, Sci-Fi";"Michael Bay";"Ehren Kruger, Roberto Orci, Alex Kurtzman";"movie";"6.0";"Transformers";"N/A"
"Transformers: Dark of the Moon";"Transformers 3 – Die dunkle Seite des Mondes";"2011";"PG-13";"29 Jun 2011";"Action, Adventure, Sci-Fi";"Michael Bay";"Ehren Kruger";"movie";"6.2";"Transformers";"N/A"
"Transformers: Age of Extinction";"Transformers: Ära des Untergangs";"2014";"PG-13";"27 Jun 2014";"Action, Adventure, Sci-Fi";"Michael Bay";"Ehren Kruger";"movie";"5.6";"Transformers";"N/A"
"Transformers: The Last Knight";"Transformers: The Last Knight";"2017";"PG-13";"21 Jun 2017";"Action, Adventure, Sci-Fi";"Michael Bay";"Art Marcum, Matt Holloway, Ken Nolan";"movie";"5.2";"Transformers";"N/A"
"Bumblebee";"Bumblebee";"2018";"PG-13";"21 Dec 2018";"Action, Adventure, Sci-Fi";"Travis Knight";"Christina Hodson";"movie";"6.7";"Transformers";"N/A"
"Transformers: Rise of the Beasts";"Transformers: Aufstieg der Bestien";"2023";"PG-13";"09 Jun 2023";"Action, Adventure, Sci-Fi";"Steven Caple Jr.";"Joby Harold, Darnell Metayer, Josh Peters";"movie";"6.0";"Transformers";"N/A"
"Shrek";"Shrek – Der tollkühne Held";"2001";"PG";"18 May 2001";"Animation, Adventure, Comedy";"Andrew Adamson, Vicky Jenson";"William Steig, Ted Elliott, Terry Rossio";"movie";"7.9";"Shrek";"N/A"
"Shrek 2";"Shrek 2 – Der tollkühne Held kehrt zurück";"2004";"PG";"19 May 2004";"Animation, Adventure, Comedy";"Andrew Adamson, Kelly Asbury, Conrad Vernon";"William Steig, Andrew Adamson, Joe Stillman";"movie";"7.4";"Shrek";"N/A"
"Shrek the Third";"Shrek der Dritte";"2007";"PG";"18 May 2007";"Animation, Adventure, Comedy";"Chris Miller, Raman Hui";"William Steig, Andrew Adamson, Jeffrey Price";"movie";"6.1";"Shrek";"N/A"
"Shrek Forever After";"Für immer Shrek";"2010";"PG";"21 May 2010";"Animation, Adventure, Comedy";"Mike Mitchell";"Josh Klausner, Darren Lemke, William Steig";"movie";"6.3";"Shrek";"N/A"
"Puss in Boots";"Der gestiefelte Kater";"2011";"PG";"15 Nov 2011";"Animation, Action, Adventure";"Chris Miller";"Tom Wheeler, Brian Lynch, William Davies";"movie";"6.6";"Der gestiefelte Kater, Puss in Boots";"N/A"
"Puss in Boots: The Last Wish";"Der gestiefelte Kater: Der letzte Wunsch";"2022";"PG";"21 Dec 2022";"Animation, Action, Adventure";"Joel Crawford, Januel Mercado";"Paul Fisher, Tommy Swerdlow, Tom Wheeler";"movie";"7.8";"Der gestiefelte Kater, Puss in Boots";"N/A"
"Ice Age";"Ice Age";"2002";"PG";"27 Mar 2002";"Animation, Adventure, Comedy";"Chris Wedge, Carlos Saldanha";"Michael J. Wilson, Michael Berg, Peter Ackerman";"movie";"7.5";"Ice Age";"N/A"
"Ice Age: The Meltdown";"Ice Age 2 – Jetzt taut’s";"2006";"PG";"31 Mar 2006";"Animation, Adventure, Comedy";"Carlos Saldanha";"Peter Gaulke, Gerry Swallow, Jim Hecht";"movie";"6.8";"Ice Age";"N/A"
"Ice Age: Dawn of the Dinosaurs";"Ice Age 3 – Die Dinosaurier sind los";"2009";"PG";"01 Jul 2009";"Animation, Adventure, Comedy";"Carlos Saldanha, Michael Thurmeier";"Michael Berg, Peter Ackerman, Mike Reiss";"movie";"6.9";"Ice Age";"N/A"
"Ice Age: Continental Drift";"Ice Age 4 – Voll verschoben";"2012";"PG";"13 Jul 2012";"Animation, Adventure, Comedy";"Steve Martino, Michael Thurmeier";"Michael Berg, Jason Fuchs, Lori Forte";"movie";"6.5";"Ice Age";"N/A"
"Ice Age: Collision Course";"Ice Age – Kollision voraus!";"2016";"PG";"22 Jul 2016";"Animation, Adventure, Comedy";"Michael Thurmeier, Galen T. Chu";"Michael J. Wilson, Michael Berg, Yoni Brenner";"movie";"5.7";"Ice Age";"N/A"
"Kung Fu Panda";"Kung Fu Panda";"2008";"PG";"06 Jun 2008";"Animation, Action, Adventure";"Mark Osborne, John Stevenson";"Jonathan Aibel, Glenn Berger, Ethan Reiff";"movie";"7.6";"Kung Fu Panda";"N/A"
"Kung Fu Panda 2";"Kung Fu Panda 2";"2011";"PG";"26 May 2011";"Animation, Action, Adventure";"Jennifer Yuh Nelson";"Jonathan Aibel, Glenn Berger, Ethan Reiff";"movie";"7.3";"Kung Fu Panda";"N/A"
"Kung Fu Panda 3";"Kung Fu Panda 3";"2016";"PG";"29 Jan 2016";"Animation, Action, Adventure";"Alessandro Carloni, Jennifer Yuh Nelson";"Jonathan Aibel, Glenn Berger, Ethan Reiff";"movie";"7.1";"Kung Fu Panda";"N/A"
"Kung Fu Panda 4";"Kung Fu Panda 4";"2024";"PG";"08 Mar 2024";"Animation, Action, Adventure";"Mike Mitchell, Stephanie Stine";"Jonathan Aibel, Glenn Berger, Darren Lemke";"movie";"6.3";"Kung Fu Panda";"N/A"
"Kung Fu Panda: Secrets of the Furious Five";"Die Geheimnisse der fünf Kung-Fu-Krieger";"2008";"TV-PG";"09 Nov 2008";"Animation, Short, Action, Comedy, Family";"Raman Hui";"Paul McEvoy (screenplay), Todd Berger (screenplay), Jed Diffenderfer (story concept)";"movie";"7.1";"Kung Fu Panda";"N/A"
"Kung Fu Panda Holiday";"Kung Fu Panda – Ein winterliches Festmahl";"2010";"Not Rated";"24 Nov 2010";"Animation, Short, Comedy";"Tim Johnson";"Jonathan Groff, Jon Pollack, Ethan Reiff";"movie";"6.7";"Kung Fu Panda";"N/A"
"Kung Fu Panda: The Dragon Knight";"Kung Fu Panda: Der Drachenritter (Serie)";"2022–2023";"TV-Y7";"14 Jul 2022";"Animation, Action, Adventure";"N/A";"N/A";"series";"6.1";"Kung Fu Panda";""
"John Wick";"John Wick";"2014";"R";"24 Oct 2014";"Action, Crime, Thriller";"Chad Stahelski";"Derek Kolstad";"movie";"7.4";"John Wick";"N/A"
"John Wick: Chapter 2";"John Wick: Kapitel 2";"2017";"R";"10 Feb 2017";"Action, Crime, Thriller";"Chad Stahelski";"Derek Kolstad";"movie";"7.4";"John Wick";"N/A"
"John Wick: Chapter 3 – Parabellum";"John Wick: Kapitel 3";"2019";"R";"17 May 2019";"Action, Crime, Thriller";"Chad Stahelski";"Derek Kolstad, Shay Hatten, Chris Collins";"movie";"7.4";"John Wick";"N/A"
"John Wick: Chapter 4";"John Wick: Kapitel 4";"2023";"R";"24 Mar 2023";"Action, Crime, Thriller";"Chad Stahelski";"Shay Hatten, Michael Finch, Derek Kolstad";"movie";"7.6";"John Wick";"N/A"
"Ballerina";"Ballerina";"2023";"TV-MA";"06 Oct 2023";"Action, Thriller";"Chung-Hyun Lee";"Chung-Hyun Lee";"movie";"6.3";"John Wick";"N/A"
"The Continental";"The Continental: Aus der Welt von John Wick";"2023";"TV-MA";"22 Sep 2023";"Action, Crime, Thriller";"N/A";"Greg Coolidge, Shawn Simmons, Kirk Ward";"series";"7.2";"John Wick";""
