english_title;german_title;rated;released;genre;director;writer;type;imdb_rating;tag
Star Wars: Episode V – The Empire Strikes Back;Star Wars: Episode V – Das Imperium schlägt zurück;PG;18-Jun-80;Action, Adventure, Fantasy;Irvin Kershner;Leigh Brackett, Lawrence Kasdan, George Lucas;movie;8.7;Star Wars
Star Wars: Episode VI – Return of the Jedi;Star Wars: Episode VI – Die Rückkehr der Jedi-Ritter;PG;25-May-83;Action, Adventure, Fantasy;Richard Marquand;Lawrence Kasdan, George Lucas;movie;8.3;Star Wars
Star Wars: Episode VII – The Force Awakens;Star Wars: Episode VII – Das Erwachen der Macht;PG-13;18-Dec-15;Action, Adventure, Sci-Fi;J.J. Abrams;Lawrence Kasdan, J.J. Abrams, Michael Arndt;movie;7.8;Star Wars
Star Wars: Episode VIII – The Last Jedi;Star Wars: Episode VIII – Die letzten Jedi;PG-13;15-Dec-17;Action, Adventure, Fantasy;Rian Johnson;Rian Johnson, George Lucas;movie;6.9;Star Wars
Star Wars: Episode IX – The Rise of Skywalker;Star Wars: Episode IX – Der Aufstieg Skywalkers;PG-13;20-Dec-19;Action, Adventure, Fantasy;J.J. Abrams;Chris Terrio, J.J. Abrams, Derek Connolly;movie;6.4;Star Wars
Rogue One: A Star Wars Story;Rogue One: A Star Wars Story;PG-13;16-Dec-16;Action, Adventure, Sci-Fi;Gareth Edwards;Chris Weitz, Tony Gilroy, John Knoll;movie;7.8;Star Wars
Solo: A Star Wars Story;Solo: A Star Wars Story;PG-13;25-May-18;Action, Adventure, Sci-Fi;Ron Howard;Jonathan Kasdan, Lawrence Kasdan, George Lucas;movie;6.9;Star Wars
Dr. No;James Bond jagt Dr. No;PG;10-Oct-62;Action, Adventure, Thriller;Terence Young;Richard Maibaum, Johanna Harwood, Berkely Mather;movie;7.2;James Bond
From Russia with Love;Liebesgrüße aus Moskau;PG;27-May-64;Action, Adventure, Thriller;Terence Young;Richard Maibaum, Johanna Harwood, Ian Fleming;movie;7.3;James Bond
Goldfinger;Goldfinger;Approved;09-Jan-65;Action, Adventure, Thriller;Guy Hamilton;Richard Maibaum, Paul Dehn, Ian Fleming;movie;7.7;James Bond
Thunderball;Feuerball;Approved;22-Dec-65;Action, Adventure, Thriller;Terence Young;Richard Maibaum, John Hopkins, Jack Whittingham;movie;6.9;James Bond
You Only Live Twice;Man lebt nur zweimal;PG;13-Jun-67;Action, Adventure, Thriller;Lewis Gilbert;Harold Jack Bloom, Roald Dahl, Ian Fleming;movie;6.8;James Bond
On Her Majesty's Secret Service;Im Geheimdienst Ihrer Majestät;PG;19-Dec-69;Action, Adventure, Thriller;Peter R. Hunt;Simon Raven, Richard Maibaum, Ian Fleming;movie;6.7;James Bond
Diamonds Are Forever;Diamantenfieber;PG;17-Dec-71;Action, Adventure, Thriller;Guy Hamilton;Richard Maibaum, Tom Mankiewicz, Ian Fleming;movie;6.5;James Bond
Live and Let Die;Leben und sterben lassen;PG;27-Jun-73;Action, Adventure, Thriller;Guy Hamilton;Tom Mankiewicz, Ian Fleming;movie;6.7;James Bond
The Man with the Golden Gun;Der Mann mit dem goldenen Colt;PG;20-Dec-74;Action, Adventure, Thriller;Guy Hamilton;Richard Maibaum, Tom Mankiewicz, Ian Fleming;movie;6.7;James Bond
The Spy Who Loved Me;Der Spion, der mich liebte;PG;03-Aug-77;Action, Adventure, Thriller;Lewis Gilbert;Christopher Wood, Richard Maibaum, Ian Fleming;movie;7.0;James Bond
Moonraker;Moonraker – Streng geheim;PG;29-Jun-79;Action, Adventure, Sci-Fi;Lewis Gilbert;Christopher Wood, Ian Fleming, Gerry Anderson;movie;6.2;James Bond
For Your Eyes Only;In tödlicher Mission;PG;26-Jun-81;Action, Adventure, Thriller;John Glen;Richard Maibaum, Michael G. Wilson, Ian Fleming;movie;6.7;James Bond
Octopussy;Octopussy;PG;10-Jun-83;Action, Adventure, Thriller;John Glen;George MacDonald Fraser, Richard Maibaum, Michael G. Wilson;movie;6.5;James Bond
A View to a Kill;Im Angesicht des Todes;PG;24-May-85;Action, Adventure, Thriller;John Glen;Richard Maibaum, Michael G. Wilson, Ian Fleming;movie;6.3;James Bond
The Living Daylights;Der Hauch des Todes;PG;31-Jul-87;Action, Adventure, Thriller;John Glen;Richard Maibaum, Michael G. Wilson, Ian Fleming;movie;6.7;James Bond
Licence to Kill;Lizenz zum Töten;PG-13;14-Jul-89;Action, Adventure, Thriller;John Glen;Michael G. Wilson, Richard Maibaum, Ian Fleming;movie;6.7;James Bond
GoldenEye;GoldenEye;PG-13;17-Nov-95;Action, Adventure, Thriller;Martin Campbell;Ian Fleming, Michael France, Jeffrey Caine;movie;7.2;James Bond
Tomorrow Never Dies;Der Morgen stirbt nie;PG-13;19-Dec-97;Action, Adventure, Thriller;Roger Spottiswoode;Bruce Feirstein, Ian Fleming;movie;6.5;James Bond
The World Is Not Enough;Die Welt ist nicht genug;PG-13;19-Nov-99;Action, Adventure, Thriller;Michael Apted;Neal Purvis, Robert Wade, Bruce Feirstein;movie;6.4;James Bond
Die Another Day;Stirb an einem anderen Tag;PG-13;22-Nov-02;Action, Adventure, Thriller;Lee Tamahori;Ian Fleming, Neal Purvis, Robert Wade;movie;6.1;James Bond
Casino Royale;Casino Royale;PG-13;17-Nov-06;Action, Adventure, Thriller;Martin Campbell;Neal Purvis, Robert Wade, Paul Haggis;movie;8.0;James Bond
Quantum of Solace;Ein Quantum Trost;PG-13;14-Nov-08;Action, Adventure, Mystery;Marc Forster;Paul Haggis, Neal Purvis, Robert Wade;movie;6.5;James Bond
Skyfall;Skyfall;PG-13;09-Nov-12;Action, Adventure, Thriller;Sam Mendes;Neal Purvis, Robert Wade, John Logan;movie;7.8;James Bond
Spectre;Spectre;PG-13;06-Nov-15;Action, Adventure, Thriller;Sam Mendes;John Logan, Neal Purvis, Robert Wade;movie;6.8;James Bond
No Time to Die;Keine Zeit zu sterben;PG-13;08-Oct-21;Action, Adventure, Thriller;Cary Joji Fukunaga;Neal Purvis, Robert Wade, Cary Joji Fukunaga;movie;7.3;James Bond
Transformers (2007);Transformers;N/A;11-Jan-18;N/A;N/A;N/A;movie;N/A;Transformers
Transformers: Revenge of the Fallen;Transformers – Die Rache;PG-13;24-Jun-09;Action, Adventure, Sci-Fi;Michael Bay;Ehren Kruger, Roberto Orci, Alex Kurtzman;movie;6.0;Transformers
Transformers: Dark of the Moon;Transformers 3;PG-13;29-Jun-11;Action, Adventure, Sci-Fi;Michael Bay;Ehren Kruger;movie;6.2;Transformers
Transformers: Age of Extinction;Transformers: Ära des Untergangs;PG-13;27-Jun-14;Action, Adventure, Sci-Fi;Michael Bay;Ehren Kruger;movie;5.6;Transformers
Transformers: The Last Knight;Transformers: The Last Knight;PG-13;21-Jun-17;Action, Adventure, Sci-Fi;Michael Bay;Art Marcum, Matt Holloway, Ken Nolan;movie;5.2;Transformers
Bumblebee;Bumblebee;PG-13;21-Dec-18;Action, Adventure, Sci-Fi;Travis Knight;Christina Hodson;movie;6.7;Transformers
