english_title;german_title;rated;released;genre;director;writer;type;imdb_rating;tag
Scream 4;Scream 4;R;2011;Horror, Mystery;Wes Craven;Kevin Williamson;movie;6.2;Scream
Scream (2022);Scream (2022);;2022;;;;movie;;Scream
Scream VI;Scream VI;R;2023;Horror, Mystery, Thriller;Matt Bettinelli-Olpin, Tyler Gillett;James Vanderbilt, Guy Busick, Kevin Williamson;movie;6.4;Scream
Kingsman: The Secret Service;Kingsman: The Secret Service;R;2015;Action, Adventure, Comedy;Matthew Vaughn;Jane Goldman, Matthew Vaughn, Mark Millar;movie;7.7;Kingsman
Kingsman: The Golden Circle;Kingsman: The Golden Circle;R;2017;Action, Adventure, Comedy;Matthew Vaughn;Jane Goldman, Matthew Vaughn, Mark Millar;movie;6.7;Kingsman
The King’s Man;The King’s Man: The Beginning;R;2021;Action, Adventure, Thriller;Matthew Vaughn;Matthew Vaughn, Karl Gajdusek, Mark Millar;movie;6.3;Kingsman
Paddington;Paddington;PG;2015;Adventure, Comedy, Family;Paul King;Paul King, Hamish McColl, Michael Bond;movie;7.3;Paddington
Paddington 2;Paddington 2;PG;2018;Adventure, Comedy, Family;Paul King;Paul King, Simon Farnaby, Michael Bond;movie;7.8;Paddington
Rise of the Planet of the Apes;Planet der Affen: Prevolution;PG-13;2011;Action, Drama, Sci-Fi;Rupert Wyatt;Rick Jaffa, Amanda Silver, Pierre Boulle;movie;7.6;Planet der Affen, Planet of the Apes
Dawn of the Planet of the Apes;Planet der Affen: Revolution;PG-13;2014;Action, Adventure, Drama;Matt Reeves;Mark Bomback, Rick Jaffa, Amanda Silver;movie;7.6;Planet der Affen, Planet of the Apes
War for the Planet of the Apes;Planet der Affen: Survival;PG-13;2017;Action, Adventure, Drama;Matt Reeves;Mark Bomback, Matt Reeves, Rick Jaffa;movie;7.4;Planet der Affen, Planet of the Apes
Kingdom of the Planet of the Apes;Planet der Affen: New Kingdom;PG-13;2024;Action, Adventure, Drama;Wes Ball;Josh Friedman, Rick Jaffa, Amanda Silver;movie;6.9;Planet der Affen, Planet of the Apes
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;Die Chroniken von Narnia: Der König von Narnia;PG;2005;Adventure, Family, Fantasy;Andrew Adamson;Ann Peacock, Andrew Adamson, Christopher Markus;movie;6.9;Chronicles of Narnia, TheChronicles of Narnia, Chroniken von Narnia, Die Chroniken von Narnia
The Chronicles of Narnia: Prince Caspian;Die Chroniken von Narnia: Prinz Kaspian von Narnia;PG;2008;Action, Adventure, Family;Andrew Adamson;Andrew Adamson, Christopher Markus, Stephen McFeely;movie;6.5;Chronicles of Narnia, TheChronicles of Narnia, Chroniken von Narnia, Die Chroniken von Narnia
The Chronicles of Narnia: The Voyage of the Dawn Treader;Die Chroniken von Narnia: Die Reise auf der Morgenröte;PG;2010;Adventure, Family, Fantasy;Michael Apted;Christopher Markus, Stephen McFeely, Michael Petroni;movie;6.3;Chronicles of Narnia, TheChronicles of Narnia, Chroniken von Narnia, Die Chroniken von Narnia
